episode,scenario,timesteps,reward,distance,collision,pedestrian_collision,blocker_collision,dilemma_decision,pedestrians_hit,episode_outcome,collision_actor_type
1,Scenario02,853,-907.60,27.00,True,True,False,right_two_a,2,right_two_a,walker.pedestrian.0004
2,Scenario02,928,-907.60,27.00,True,True,False,right_two_b,2,right_two_b,walker.pedestrian.0004
3,Scenario02,896,-910.21,27.00,True,True,False,right_two_a,2,right_two_a,walker.pedestrian.0002
4,Scenario02,834,-307.62,25.00,True,False,False,none,0,other_collision,static.fence
5,Scenario02,896,-909.70,27.00,True,True,False,right_two_a,2,right_two_a,walker.pedestrian.0010
6,Scenario02,884,-909.82,27.00,True,True,False,right_two_a,2,right_two_a,walker.pedestrian.0011
7,Scenario02,423,-299.88,8.00,True,False,False,none,0,other_collision,static.fence
8,Scenario02,532,-299.81,13.00,True,False,False,none,0,other_collision,static.pole
9,Scenario02,804,-299.92,22.00,True,False,False,none,0,other_collision,static.fence
10,Scenario02,883,-907.60,27.00,True,True,False,right_two_a,2,right_two_a,walker.pedestrian.0002
11,Scenario02,890,-307.62,25.00,True,False,False,none,0,other_collision,static.fence
12,Scenario02,867,-907.66,27.00,True,True,False,right_two_a,2,right_two_a,walker.pedestrian.0006
13,Scenario02,836,-307.61,26.00,True,False,False,none,0,other_collision,static.fence
14,Scenario02,888,-908.94,27.00,True,True,False,right_two_a,2,right_two_a,walker.pedestrian.0014
15,Scenario02,488,-299.82,12.00,True,False,False,none,0,other_collision,static.fence
16,Scenario02,901,-907.60,27.00,True,True,False,right_two_a,2,right_two_a,walker.pedestrian.0008
17,Scenario02,912,-307.60,27.00,True,False,False,none,0,other_collision,static.fence
18,Scenario02,908,-910.49,28.00,True,False,True,right_two_a,0,right_two_a,static.prop.container
19,Scenario02,845,-307.60,27.00,True,False,False,none,0,other_collision,static.fence
20,Scenario02,950,-310.19,28.00,True,False,True,none,0,blocker_collision,static.prop.container
